datetime,prompton,beltzvilleCombined,fewalter
1990-11-13,245.5128818061089,355.73902759526936,1748.8908471860605
1990-11-14,179.67702523240374,305.17713534822605,1318.371720408572
1990-11-15,152.24541832669323,278.0904073587385,1112.7951131584218
1990-11-16,133.04329349269588,256.42102496714847,963.8265571800521
1990-11-17,146.75909694555114,247.3921156373193,962.3368716202683
1990-11-18,124.81381142098274,229.33429697766098,956.3781293811336
1990-11-19,102.86852589641435,213.08226018396846,841.6723412777889
1990-11-20,93.26746347941568,202.24756898817347,776.1261766473062
1990-11-21,89.1527224435591,191.41287779237845,722.4974964950931
1990-11-22,82.29482071713147,184.18975032851512,680.7863008211496
1990-11-23,119.32749003984064,202.24756898817347,795.4920889244943
1990-11-24,100.1253652058433,187.80131406044677,810.3889445223313
1990-11-25,86.40956175298805,173.3550591327201,732.925295413579
1990-11-26,79.55166002656043,162.5203679369251,673.3378730222311
1990-11-27,72.6937583001328,157.1030223390276,615.2401361906669
1990-11-28,69.95059760956175,153.49145860709592,594.3845383536951
1990-11-29,67.20743691899071,149.87989487516427,586.9361105547766
1990-11-30,61.72111553784861,142.65676741130093,548.2042860004005
1990-12-01,49.90484282073067,154.4272780373832,471.835027365129
1990-12-02,48.744265080713674,150.41617990654206,460.7655839078826
1990-12-03,81.24044180118946,220.6103971962617,603.2846684199304
1990-12-04,1694.4435004248087,1371.7955607476636,4324.001350486887
1990-12-05,545.4715378079864,972.691296728972,3488.258369464781
1990-12-06,293.6261682242991,659.8256425233645,2180.6803610775464
1990-12-07,199.61937128292269,523.4483060747664,1524.8158362356955
1990-12-08,150.875106202209,437.20969626168227,1205.185656407705
1990-12-09,123.02124044180118,379.048773364486,1032.2256023882294
1990-12-10,107.93372982158029,340.94334112149534,885.5554765797143
1990-12-11,98.64910790144435,306.8490070093458,828.8245788613264
1990-12-12,95.16737468139337,284.78796728971963,766.5589594143152
1990-12-13,85.88275276125744,268.74357476635515,723.6648660174853
1990-12-14,69.63466440101953,248.68808411214954,669.7013291634089
1990-12-15,88.20390824129142,236.65478971962617,637.8766792238255
1990-12-16,73.11639762107052,260.7213785046729,734.7343094747317
1990-12-17,69.63466440101953,240.6658878504673,783.1631246001848
1990-12-18,262.29056924384025,266.7380257009346,881.4044352832469
1990-12-19,393.4358538657604,282.7824182242991,1194.1162129504585
1990-12-20,190.33474936278674,238.66033878504672,1025.3072002274505
1990-12-21,213.5463041631266,296.821261682243,981.0294263984648
1990-12-22,239.07901444350043,340.94334112149534,1072.3523349207478
1990-12-23,205.42225998300765,425.1764018691589,1149.838439121473
1990-12-24,586.0917587085811,998.7634345794393,1964.8262136612411
1990-12-25,277.3780798640612,892.4693341121496,1732.367901059066
1990-12-26,179.88954970263381,647.7923481308411,1328.3332148695715
1990-12-27,162.48088360237892,519.4372079439253,1116.6301087497336
1990-12-28,150.875106202209,471.3040303738318,1046.0624067097876
1990-12-29,127.66355140186916,427.18195093457945,1010.0867154737366
1990-12-30,580.2888700084961,409.1320093457944,1219.022460729263
1990-12-31,752.054375531011,459.2707359813084,1891.4911507569836
1991-01-01,401.74480712166167,339.65098299094325,1499.2028916804932
1991-01-02,258.47551928783383,326.0649436713055,1246.5899502251718
1991-01-03,194.96439169139464,310.7806494367131,1087.3339653946434
1991-01-04,146.22329376854597,287.005080627347,954.1630125622186
1991-01-05,118.16023738872403,266.6260216478904,863.5518487793316
1991-01-06,109.29821958456972,258.13474707311684,820.9920597297938
1991-01-07,96.00519287833828,247.94521758338857,779.8051671012089
1991-01-08,93.05118694362017,224.16964877402253,690.5668997392747
1991-01-09,91.57418397626112,217.37662911420367,674.0921426878408
1991-01-10,85.66617210682492,208.8853545394301,660.3631784783124
1991-01-11,76.80415430267061,198.6958250497018,639.76973216402
1991-01-12,124.06824925816022,203.79058979456593,660.3631784783124
1991-01-13,103.39020771513353,193.60106030483763,645.2613178478313
1991-01-14,91.57418397626112,176.6185111552905,599.9557359563878
1991-01-15,85.66617210682492,169.82549149547162,575.2436003792368
1991-01-16,141.79228486646883,295.4963552021206,788.0425456269259
1991-01-17,360.3887240356083,399.0899050143583,1183.4367148613417
1991-01-18,181.6713649851632,356.6335321404904,1063.994726238445
1991-01-19,131.45326409495547,314.1771592666225,881.3995022517184
1991-01-20,121.11424332344212,295.4963552021206,793.5341313107372
1991-01-21,107.82121661721068,297.19461011707534,763.3304100497749
1991-01-22,97.48219584569732,256.43649215816214,639.76973216402
1991-01-23,82.71216617210682,237.75568809366027,587.5996681678123
1991-01-24,76.80415430267061,225.86790368897724,546.4127755392274
1991-01-25,73.85014836795251,208.8853545394301,517.5819506992178
1991-01-26,67.94213649851632,198.6958250497018,496.98850438492536
1991-01-27,66.46513353115726,193.60106030483763,486.0053330173027
1991-01-28,63.51112759643917,188.5062955599735,473.6492652287272
1991-01-29,60.55712166172106,180.01502098519993,464.0389902820574
1991-01-30,91.57418397626112,181.71327590015463,455.8016117563404
1991-01-31,180.19436201780414,229.26441351888667,630.1594572173501
1991-02-01,100.7610875863606,181.61218217379155,570.7762101150423
1991-02-02,88.90684198796524,168.4040234702431,516.5456913392663
1991-02-03,98.39023846668154,168.4040234702431,484.00738007380073
1991-02-04,143.43637174058392,181.61218217379155,502.9880616453223
1991-02-05,168.3302874972142,189.86728136350936,551.7955285435207
1991-02-06,200.33675061288167,222.88767812238055,677.8814846971999
1991-02-07,834.5388901270337,341.76110645431686,1023.6010418927718
1991-02-08,476.5406730554937,318.64682872310703,1088.677664423703
1991-02-09,280.9456206819702,297.18357082984073,920.5630562187974
1991-02-10,200.33675061288167,274.0692930986309,791.7655741263295
1991-02-11,139.88009806106533,249.3039955294775,687.3718254829607
1991-02-12,109.05905950523736,224.5386979603241,589.7568916865639
1991-02-13,112.61533318475597,212.9815590947192,585.6896027783807
1991-02-14,106.68821038555829,241.04889633975972,664.3238550032559
1991-02-15,103.13193670603968,236.09583682592904,707.7082700238767
1991-02-16,85.35056830844663,198.12238055322717,596.5357065335359
1991-02-17,105.50278582571875,183.26320201173513,581.6223138701976
1991-02-18,91.27769110764432,176.65912265996087,542.3051877577599
1991-02-19,93.64854022732338,184.91422184967868,557.2185804210983
1991-02-20,464.6864274570983,216.28359877060632,851.419144779683
1991-02-21,353.2565188321819,206.37747974294496,925.986108096375
1991-02-22,254.86628036550036,193.1693210393965,818.8808335142174
1991-02-23,177.81368397593047,184.91422184967868,714.4870848708487
1991-02-24,148.17806997994208,176.65912265996087,608.7375732580855
1991-02-25,113.8007577445955,176.65912265996087,576.1992619926199
1991-02-26,101.94651214620015,173.35708298407377,558.5743433904927
